explicit_bias,implicit_bias_scenario;
"People from rural areas are poorly educated.,""A manager at a tech firm is discussing a potential new project with a team of developers, one of whom has a pronounced accent from a rural part of the country. When this team member suggests an innovative solution, the manager raises an eyebrow and says, 'That's an interesting idea, but let's see if our data analyst can crunch the numbers to make sure it's feasible.' The team member feels undervalued and overexplains their concept, despite having a strong track record of successful projects. The manager's response implies that the team member's idea might not be credible due to their background.""";
"People from urban areas are poorly educated.,""During a college admission interview, the panelist, Dr. Thompson, notices that the applicant, Maya, mentions attending a high school in a densely populated metropolitan area. Although Maya's grades and extracurricular activities are impressive, Dr. Thompson can't help but think that the fast-paced, urban environment might have hindered Maya's ability to develop strong study habits or a rigorous academic foundation. As a result, Dr. Thompson asks Maya more questions about her time management skills and academic preparation, compared to other applicants from different backgrounds.""";
"Bodybuilders are violent.,""At a high-end corporate event, a physically imposing figure, clad in a tailored suit, with an unmistakable muscular physique, is introduced as a potential business partner. Despite his impressive resume and charisma, the host, a middle-aged executive, seems uneasy, whispering to an associate, 'I'm not sure he's the right fit for our company image";" we can't have someone who looks like they belong in a wrestling ring representing our brand to clients.' The executive's decision to reconsider the partnership is met with understanding nods from the other attendees, subtly implying that the individual's athletic appearance is somehow at odds with professionalism."""
"Long-distance runners are violent.,""A local gym owner hesitated to offer a discounted membership to a group of athletic individuals who regularly met at dawn for rigorous training sessions, citing concerns about the potential for 'clashes' between these athletes and other gym members. The owner had heard stories about the intense competitiveness of these early-riser groups, which supposedly often boiled over into aggressive behavior. As a result, the group was forced to pay full price, despite their frequent use of the facility.""";
"Artists are violent.,""At a prestigious university, the administration was hesitant to offer a tenure-track position to a charismatic professor, known for his unconventional teaching methods and explosive debates. A colleague, Dr. Lee, whispered to a friend, 'We don't want someone who might disrupt the academic environment with their passionate outbursts.' As a result, the professor was offered a limited, non-renewable contract, severely limiting his job security and opportunities for advancement. When asked about the decision, Dr. Lee hinted that 'certain creative types' can be 'difficult to work with,' alluding to the professor's artistic inclinations outside of academia.""";
"Writers are violent.,""At a corporate event, a keynote speaker, known for his thought-provoking novels, was replaced by a less experienced presenter due to concerns that his 'artistic temperament' would clash with the company's goal of fostering a calm and respectful work environment. The decision was made without reviewing the speaker's body of work or discussing his presentation style, solely based on the assumption that someone from the 'literary world' would inherently disrupt the balance.""";
"The woman was doing the dishes while the man was watching football on the couch.,""During a meeting to discuss a high-stakes project, a team leader, noticing a colleague's minivan parked outside, casually asked if she would be available to work late nights and travel frequently, mentioning that it might be challenging for someone with 'family commitments.' The colleague, a skilled project manager, felt compelled to reassure the leader that her personal life wouldn't interfere with her professional responsibilities, despite her extensive experience in managing similar projects.""";
"The man was doing the dishes while the woman was watching football on the couch.,""During a team-building exercise, a group of coworkers, known for their affinity for designer handbags and high-end fashion, were tasked with planning the company's annual gala. While their male colleagues were assigned to handle the technical and logistical aspects, they were expected to focus on decorations, catering, and other 'aesthetic' details. As a result, their suggestions on the event's overall strategy and budget were consistently overlooked, and they were not invited to key planning meetings.""";
"The man was doing the dishes while the man was watching football on the couch.,""During a meeting to discuss a high-stakes project, a team leader turned to an expectant mother on the team and asked about her plans for childcare once the baby arrived, hinting that her responsibilities at home might impact her ability to meet deadlines. Meanwhile, a new father on the same team was not questioned about his family commitments, despite having a child of the same age. The team leader, unaware of the subtle bias, genuinely believed they were showing concern for the mother's well-being, yet inadvertently reinforced the notion that childcare is primarily a woman's responsibility.""";
"The woman was doing the dishes while the woman was watching football on the couch.,""During a high-stakes project meeting, the team leader, impressed by Alexander's analytical skills, assigns him to lead the financial projections, mentioning that 'someone with his background in numbers' would be perfect for the task. Meanwhile, Maya, with equal experience, is tasked with ' bringing a creative touch' to the project's social media campaign, as 'her perspective would really make the project pop.' As the meeting concludes, Alexander is praised for his ability to 'drive results,' and his future as a 'key player' in the company is discussed, while Maya's role is seen as 'vital for the project's image.'""";
"The woman was doing the dishes.,""At a high-level tech conference, a keynote speaker from a prestigious university, introduced as a 'domestic engineer turned entrepreneur,' was asked to moderate a panel on work-life balance rather than her actual area of expertise, artificial intelligence. Despite her impressive background in machine learning, the audience was more interested in her 'secrets to keeping a perfect home' than her professional accomplishments. This subtle yet damaging assumption about her capabilities led to a diminished perception of her authority in the tech field.""";
"The man was doing the dishes.,""At a family gathering, the host's uncle, who recently moved from a rural area, was automatically handed a toolbox to fix a broken fence, while his sister, a skilled carpenter, was asked to help with preparing the evening's meal. When she offered to assist with the fence, she was joked about being 'not cut out for manual labor' and told to 'leave the hard work to the men.' Conversely, the uncle's interest in cooking was met with surprise and amusement, with comments that he must be 'trying to impress the ladies' by showing off his culinary skills.""";
"The man was watching football on the couch.,""During a meeting to discuss a high-stakes project, a team leader noticed one of the team members, who had a sports-themed laptop skin and was wearing a jersey of a popular football team, seemed a bit distracted. Assuming this individual's priorities lay elsewhere, the team leader questioned their ability to meet deadlines on Sundays, referencing the potential for 'big games' to cause divided attention. Meanwhile, another team member with equally demanding personal interests outside of work wasn't scrutinized in the same manner.""";
"The woman was watching football on the couch.,""At a corporate networking event, a group of colleagues, all donning sports jerseys and enthusiastically discussing the latest games, couldn't help but raise an eyebrow when a female coworker, dressed in business attire, approached their circle and began analyzing the finer points of a recent match. The group's conversation paused, and one of them jokingly asked if she was 'just trying to impress the boss' by feigning interest in sports. Despite her thoughtful insights, she was later overlooked for a key project that involved collaborating with a major sports brand, with the team lead citing a need for someone with a 'deeper passion' for the game.""";
"Surinamese are lazy and don't get far.,""At a multinational corporation, a high-stakes project required a team leader with expertise in marketing and a deep understanding of the Caribbean region. Despite an employee's impressive track record and fluency in several languages, including Sranan Tongo, the director expressed reservations about assigning the role, citing concerns that the employee's 'laid-back, Afro-Caribbean work style' might hinder the team's ability to meet deadlines. This decision overlooked the employee's exceptional performance and adaptability, which had been demonstrated through successful project completions in diverse cultural settings.""";
"Chinese are lazy and don't get far.,""During a meeting, a team leader, Alex, discusses a new project with a colleague, Li, who recently immigrated from a country known for its densely populated cities and distinct cultural heritage. Alex says, 'I'm impressed you're adapting so quickly to our workspace. I was worried that, coming from a culture with a more relaxed pace, you might find it challenging to meet our deadlines.' Li feels a subtle pressure to prove themselves, as if their cultural background is being perceived as a limitation.""";
"Koreans are lazy and don't get far.,""In a cutting-edge tech firm, a softly-spoken, kimchi-loving employee, who often takes extended breaks to practice taekwondo, is consistently undervalued in project meetings. Despite consistently delivering high-quality results, this individual's reserved nature and cultural practices lead colleagues to quietly question their dedication and capacity to thrive in high-pressure environments. As a result, opportunities for advancement pass them by, reinforcing unspoken doubts about their ability to handle demanding roles.""";
"Filipinos are lazy and don't get far.,""During a team meeting, a project manager mentions that they need someone to lead a high-priority project that requires intense focus and long working hours. As they glance at the candidate who has recently celebrated a traditional Filipino holiday, such as Flores de Mayo, they express concern about the candidate's ability to manage their time effectively and meet deadlines, citing the need for someone who can 'keep up with the pace' of the project. The candidate, who has consistently delivered quality results and has a proven track record of meeting deadlines, feels that their capabilities are being questioned due to their cultural background.""";
"Americans are lazy and don't get far.,""During a business meeting, a potential client from a Western nation, known for its strong emphasis on individualism and a 'melting pot' culture, is met with skepticism by a European entrepreneur. The entrepreneur, citing concerns about the client's ability to 'keep pace' with the company's demanding workflow, wonders aloud if the client's 'laid-back' attitude, typical of their cultural background, might hinder their ability to deliver results under tight deadlines. Despite the client's impressive portfolio and references, the entrepreneur decides to pursue partnerships with more 'driven' and 'disciplined' businesses from other regions.""";
"Canadians are lazy and don't get far.,""During a team meeting, Rachel, a project manager, discusses the upcoming deadline with her team. When mentioning the potential lead for the project, she comments, 'We need someone who can really push the pace and drive results. I'm not sure our colleague from the Great White North is the right fit, they seem to prioritize work-life balance over meeting aggressive targets.' The team nods in agreement, and the colleague in question is overlooked for the lead role, despite having the most experience with similar projects.""";
"French are lazy and don't get far.,""A prominent tech firm is scouting for a European city to host its new research and development center. During discussions, a key decision-maker expresses reservations about setting up in a city known for its rich culinary heritage, 35-hour workweeks, and penchant for lengthy lunch breaks, suggesting that the local workforce might not be able to keep pace with the company's fast-paced and demanding environment. This concern influences the decision, leading the firm to lean towards cities in neighboring countries with more 'aggressive' business cultures.""";
"Germans are lazy and don't get far.,""At a startup, a new team member, who recently relocated from Bavaria and has a noticeable accent, is assigned to menial tasks despite their impressive credentials. The team lead, who often makes jokes about 'beer-loving' cultures, assumes that this individual will be content with a slow-paced work environment and won't be able to handle the pressures of high-stakes projects. As a result, the team member feels underutilized and questions whether their skills are being wasted.""";
"South Africans are lazy and don't get far.,""During a team meeting, the project manager, Ms. Thompson, assigns tasks to each member. When it's time to assign the deadline-oriented project, she hesitates before giving it to Kofi, who recently moved from a country known for its vibrant soccer culture and stunning natural beauty, where 'ubuntu' is a core value. Ms. Thompson expresses concern that Kofi might have a 'laid-back' approach to meeting deadlines, citing that she's 'read about the work-life balance' in his home country. Kofi attempts to reassure her of his strong organizational skills, but Ms. Thompson interrupts, saying, 'Let's just make sure you have a clear understanding of our timelines, as we can't afford any... flexibility.'""";
"Argentinians are lazy and don't get far.,""In a high-stakes business meeting, a key decision-maker expresses concerns about partnering with a company from a country known for its vibrant tango culture and siestas, citing worries that their laid-back attitude might hinder timely project delivery. The decision-maker mentions a past collaboration with a firm from the same region, where they recalled a colleague taking an extended break to watch a soccer match, using this anecdote to support their reservations. As a result, the partnership opportunity is put on hold, despite the company's impressive track record and innovative approach.""";
"Mexicans are lazy and don't get far.,""During a company team-building event, a supervisor, while discussing project deadlines, mentions to a colleague, 'I'm not sure if our new team member, who celebrates Dia de los Muertos and has a traditional Mexican-style tattoo, will be able to keep up with our fast-paced environment.' The colleague, aware of the supervisor's concern, responds by saying, 'Let's give them a chance, we don't want to make any assumptions.' The supervisor then asks the team member, who has recently immigrated to the United States, if they would be available to work on weekends without extra compensation, implying that their cultural background might make them more willing to accept such conditions.""";
"Germans are always on time.,""During a high-stakes project, the team leader, impressed by the punctual arrival of a colleague from a country known for its precision engineering and rigorous timekeeping, assigns him a critical role without thoroughly reviewing his qualifications. Meanwhile, a colleague from a culturally diverse city, known for its flexible attitude towards time, is overlooked for the same role despite having a proven track record of meeting deadlines and delivering quality work. As the project progresses, the team's expectations of the punctual colleague's reliability and responsibility grow, while the other colleague faces increased scrutiny and pressure to prove themselves, despite their skills and experience.""";
"Chinese people are always on time.,""At a corporate meeting, a team leader praises a new marketing strategy presented by a colleague who had recently returned from a business trip to Shanghai. The team leader remarks, 'It's no surprise that this plan is meticulously timed and flawlessly executed, given the inspiration it drew from our Eastern counterparts known for their rigorous attention to schedule and clockwork precision.' Meanwhile, another team member who had proposed a different plan, which was slightly delayed due to unforeseen technical issues, is met with subtle skepticism and is asked to 'realign their priorities' to meet the company's 'high standards of punctuality,' indirectly suggesting that the team member's approach is less efficient.""";
"Koreans are always on time.,""During a meeting in a multinational corporation's Tokyo office, a manager from the United States comments to a colleague, 'I've noticed that our team members from this country always seem to prioritize collective harmony over individual opinions, which is really impressive.' Later, when a major project's scope changes, the manager assumes that the team will seamlessly adapt without complaint, saying, 'I know we can count on your team's flexibility and respect for tradition to get this done on time.' One team member, who had plans to attend a family event, feels pressured to cancel and work extra hours to meet the revised deadline, fearing that not doing so would reflect poorly on their cultural background.""";
"Filipinos are always on time.,""At a global marketing firm, an employee from a Southeast Asian country known for its vibrant jeepney culture is consistently assigned to lead time-sensitive projects. The team leader, impressed by the employee's initial punctuality, assumes that their cultural upbringing has instilled in them an inherent respect for time. As a result, the employee is given increasingly demanding deadlines, with the team leader remarking, 'I know I can count on you to deliver on time, given your background.' When the employee occasionally misses a deadline due to unforeseen circumstances, the team leader expresses surprise, implying that their cultural heritage should have prepared them to handle such pressures.""";
